,Bidirectional_LSTM,Bidirectional_GRU,Attention_LSTM,LSTM,Ensemble,Optimized_Weighted_Ensemble,GRU,Residual_LSTM,Deep_CNN,Transformer,CNN_LSTM
AURKB,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452
IGHV3-72,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363
CCL4L1,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204
EPRS1,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899
DPH2,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075
DHFR,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167
ZFP36L2,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238
CCL4,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605
CENPO,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972
SPON2,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277
DPEP2,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213
CCL3L1,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359
CSRNP1,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047
MOCS3,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794
CCL4L2,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423
